rxpck/s, txpck/s, rxkB/s, txkB/s
4,4,0.31,0.31
0,0,0,0
0,0,0,0
14,14,0.82,0.82
6,6,0.36,0.36
7,7,0.42,0.42
5,5,0.3,0.3
5,5,0.3,0.3
9203,9203,42735.1,42735.1
6537,6537,32946.55,32946.55
3143,3143,15821.04,15821.04
3044,3044,15365.4,15365.4
4206,4206,21202.29,21202.29
4206,4206,21202.29,21202.29
7950,7950,40097.96,40097.96
4673,4673,23549.19,23549.19
3277,3277,16508.77,16508.77
2326,2326,11693.97,11693.97
7023,7023,35444.59,35444.59
4206,4206,21202.29,21202.29
4208,4208,21202.4,21202.4
6436,6436,32440.72,32440.72
6136,6136,30963.49,30963.49
4262,4262,21485.52,21485.52
4206,4206,21202.29,21202.29
3638,3638,18319.56,18319.56
576,576,2883.2,2883.2
4214,4214,21242.75,21242.75
4206,4206,21202.29,21202.29
6536,6536,32946.49,32946.49
6087,6087,30700.66,30700.66
4206,4206,21202.29,21202.29
4206,4206,21202.29,21202.29
4214,4214,21242.75,21242.75
4206,4206,21202.29,21202.29
4208,4208,21202.41,21202.41
4206,4206,21202.29,21202.29
4214,4214,21242.75,21242.75
4206,4206,21202.29,21202.29
4206,4206,21202.29,21202.29
4216,4216,21242.87,21242.87
4206,4206,21202.29,21202.29
4206,4206,21202.29,21202.29
4206,4206,21202.29,21202.29
4234,4234,21244.34,21244.34
4208,4208,21202.41,21202.41
8414,8414,42444.69,42444.69
4207,4207,21202.34,21202.34
4206,4206,21202.29,21202.29
4214,4214,21242.75,21242.75
4208,4208,21202.4,21202.4
4198,4198,21161.83,21161.83
4642,4642,23367.36,23367.36
7326,7326,36982.06,36982.06
3934,3934,19826.62,19826.62
4965,4965,25026.01,25026.01
4182,4182,21080.91,21080.91
4174,4174,21040.45,21040.45
4174,4174,21040.45,21040.45
4174,4174,21040.45,21040.45
